,mouse,day,x,y,w,h
0,2,1,550,440,120,130
1,2,2,550,440,150,150
2,3,1,520,420,150,150
3,3,2,520,420,150,150
4,4,1,520,420,150,150
5,5,1,520,420,150,150
6,6,1,520,420,150,150
